source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error
39163474607448192,60.248464510952175,14.345864861471355,21.969577865703958,0.2720026,128.23816554333953,-14.906157104815103,13.77109,15.482401,12.513745,,
1466873344679078912,197.58822595891712,32.9014187589585,21.019982342414156,0.032265004,-175.88469431694617,1.6260453200246427,15.604242,17.477537,14.318521,6.5539937,6.6559577
2435760585892875776,355.88564752816404,-9.202160259508016,22.333170632874385,0.057400774,-83.82167475249707,-104.15020271692337,15.250292,17.261732,13.93346,6.6577363,4.043484
1466872554405096192,197.58824489678497,32.882975294708444,21.292437473459078,0.24947032,-176.06755301154303,1.6730227314609105,13.302989,14.623864,12.074744,5.5841265,0.7834595
2639699651880882688,355.80158626335015,-3.1937519043326903,21.131348886483543,0.0695258,277.20480926437614,-48.177167578630204,16.465845,18.692434,15.0986595,,
49131681384221952,65.44163945529262,20.395550027325378,20.540163199450884,0.1561106,104.811415931944,-33.41532847520043,17.93693,20.77402,16.459877,,
42768945033709568,53.374931560554835,16.597006758489762,20.46803082728475,0.042946585,-23.89137153001734,-95.60844607068903,15.290902,17.185974,14.000297,-0.77016157,6.2269087
38929141191925760,60.18788343489715,13.906261435698088,22.207221277727587,0.1871563,129.1616867319085,-14.793878260018896,13.338667,15.0291395,12.044116,38.28595,2.305107
42768532716777088,53.23794649037851,16.597164291338093,20.205165919471824,0.15363027,-23.906527051415196,-95.49297206901262,15.004859,16.066336,13.552908,,
3003146828214395904,95.9095265348522,-9.647604941229186,41.827689642723,0.40325478,-61.335269849613105,16.980038621736384,16.822691,,,,
49131681384221184,65.43537023809772,20.402754686332496,20.282688061310395,0.11537205,104.08247386373685,-33.55629455480451,17.242485,19.742113,15.816235,,
