source_id,ra,dec,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,g_rp,ruwe,l,b,w1mag,w2mag,allwise_id,wise_cc_flags,jmag,hmag,kmag,twomass_id,G-W2,J-K,dist_pc,abs_g
6473285343147923072,302.8673726463968,-53.363328161354055,7.485031267028066,1.3704497,224.4239,-5.963848489349928,-224.3446467699508,20.844526,20.948862,20.1039,0.84496117,0.7406254,1.072598,345.00923678309465,-33.20320061980726,15.462,15.411,J201128.81-532152.0,0000,16.121999740600586,15.593000411987305,15.597000122070312,20112940-5321315,5.433525748229979,0.5249996185302734,133.59997631607092,15.215494094249992
4707605252467583616,3.239368709988192,-66.61486258371981,5.7672106903718365,1.1171114,223.47148,196.79751347987795,-105.8784371923556,20.817848,20.910172,19.302458,1.6077137,1.5153904,1.1363379,308.86324924657384,-50.06789970166162,17.408,17.084,J001301.99-663652.5,0000,15.30799961090088,14.92099952697754,14.83199977874756,00125952-6637062,3.733848366210939,0.4759998321533203,173.3940467390009,14.622677087724218
4987326989167298560,14.981663301382232,-40.58314422034604,6.816428136008909,1.0855538,215.33118,211.4557744288151,-40.66901445865007,20.748402,21.569685,19.26558,2.3041058,1.4828224,1.0866789,296.0471261002004,-76.43142197214893,16.292,16.133,J005956.30-403508.7,0000,,,,,4.615402579833983,,146.70440002401472,14.91618630203467
6402746586984583296,327.02166864837886,-63.79284670989987,7.0153511920211855,1.0553547,221.1807,216.96582806069875,-42.97358687483631,20.69915,21.438103,19.237886,2.2002163,1.4612637,1.1228186,328.63404261028586,-43.07335561144501,15.528,15.299,J214805.03-634734.1,0000,,,,,5.400150213623046,,142.54453877338835,14.929397084547617
1083836788147411072,125.17436566028154,60.195468541135504,6.070195166170756,0.79674906,222.8018,-64.93326194450788,-213.1298014106141,20.674444,21.661882,19.229805,2.4320774,1.4446392,0.983417,156.75739118125642,34.30737308139943,15.573,15.73,J082039.22+601140.8,0000,16.281999588012695,15.619999885559082,15.74899959564209,08203916+6011406,4.944444457763673,0.5329999923706055,164.7393490036379,14.59045727269789
5121760221446118272,29.78358179628336,-25.40945265141214,4.414969289068456,0.8719446,207.26534,192.1642330803926,-77.66483247599356,20.64215,21.493805,19.194601,2.2992039,1.4475498,1.0910945,210.2849146532545,-74.73846976366364,13.741,13.501,J015906.43-252437.9,0000,14.644000053405762,14.093000411987305,13.835000038146973,01590643-2524375,7.141149595642091,0.8090000152587891,226.50214181014078,13.866788434659114
6481421523035063040,314.76085716475694,-48.366206314309856,7.4838707198898735,1.1035892,224.56854,68.19497347807362,-213.96372005221787,20.638966,21.865238,19.117407,2.7478313,1.5215588,1.0952657,351.08686560283184,-40.78872744972013,16.922,16.902,J205900.62-482141.1,0000,17.400999069213867,16.118999481201172,15.64799976348877,20590396-4821570,3.736965572753906,1.7529993057250977,133.6206940804444,15.009597383367955
5028717795157123456,19.69961031061249,-30.98691608771422,7.522979645167814,1.1023778,222.81187,222.71454771415088,6.584747940071993,20.635736,21.298649,19.998432,1.3002167,0.6373043,1.1568675,247.39570912257253,-82.8863654811746,15.487,15.371,J011848.48-305925.3,0000,16.516000747680664,15.875,15.538000106811523,01184940-3059139,5.264735710083009,0.9780006408691406,132.92605419214757,15.017685433778075
1020089715309102720,145.28469809036255,51.69185986231308,5.049958492552388,0.8588102,204.65312,-152.2815006361884,-136.7232306398854,20.626665,21.288815,19.3708,1.9180145,1.2558651,1.1872382,164.96098672781292,46.88587362439685,17.626,16.858,J094108.41+514102.5,0000,15.81999969482422,15.515000343322754,15.41100025177002,09410572+5141470,3.768665198364257,0.4089994430541992,198.02142957705232,14.143104042544259
6400343913559585792,324.69196100702226,-66.71843078957733,4.798917931298192,0.7132308,221.24837,163.3086711493069,-149.268616517456,20.607822,20.919792,19.344828,1.5749645,1.2629948,0.93963915,325.8278952883832,-40.80358341354477,16.994,16.543,J213850.49-664251.9,0000,16.802000045776367,16.099000930786133,15.80500030517578,21384677-6643162,4.064822732421874,0.996999740600586,208.38030871044347,14.013538614541147
4917488450112344832,24.95005490669904,-50.04212095458263,4.112520277771902,0.75413424,204.35611,-49.16974623096563,-198.3526061071692,20.597208,21.694637,19.296333,2.398304,1.3008747,1.0391357,284.16267821218054,-65.28687028369836,17.299,17.27,J013945.59-500246.5,0000,,,,,3.3272075422363265,,243.1598952605734,13.667748261784354
3869953245241716352,158.99471033178116,9.664497355152774,6.7508558174187865,1.3068467,211.7353,-184.59293172591163,-103.71736547820488,20.578226,22.00495,19.2891,2.715849,1.2891254,1.0021352,235.102321925502,53.616805660580994,16.652,16.445,J103600.17+093937.5,0000,,,,,4.133226305175782,,148.12936715664497,14.725020162838424
4708448990202073472,7.916419208436984,-64.35553057685607,3.435005972934156,0.6316542,220.77274,192.43886805096275,-108.20296897755756,20.5728,21.424778,19.451918,1.9728603,1.120882,1.0623004,306.4549445414885,-52.63725904420065,17.167,16.575,J003138.33-642110.2,0000,16.381999969482422,15.996999740600586,15.836999893188477,00314010-6420516,3.997799237060548,0.5450000762939453,291.1203089250548,13.252437482829505
