source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_mag,v_gc
1383279090527227264,240.3373434419254,41.166772756632206,0.13070101603240278,0.013142354786396027,-25.725945926604723,0.013284488581120968,-9.655183382111904,0.01621890813112259,-183.59417724609375,1.264317274093628,1.0409880876541138,12.998040199279785,812.5882488940073
4337459232822884992,249.98054796988464,-10.46668844312934,0.11843041498616314,0.01451227255165577,-19.141905121067726,0.017154796048998833,-14.856811035576749,0.012718095444142818,-291.61077880859375,0.30111101269721985,1.0038974285125732,12.497579574584961,778.6292165625392
4294439878351150464,293.43658133409195,6.240593789601599,0.1622244068344309,0.01875116676092148,-7.787346990649886,0.017471659928560257,-28.796888116603558,0.014211471192538738,-292.37640380859375,4.0974321365356445,1.0701560974121094,13.90223503112793,709.8366732898859
3877058564258758656,154.44467629206406,9.869414960885791,0.13584059659916514,0.016712985932826996,-11.286757906180375,0.01795293390750885,-22.742057230289237,0.013866759836673737,314.43328857421875,2.9014370441436768,1.00308096408844,13.50472640991211,703.2808300635314
6655834986669992448,280.6354784261336,-50.578561675316585,0.1283938163879596,0.013854830525815487,-15.30438718722295,0.013188570737838745,-19.826460352679604,0.012288871221244335,87.24984741210938,1.2084143161773682,1.0742113590240479,13.159135818481445,697.1572799573012
1480182073940289024,219.16949770353318,35.62872942987709,0.10823784600830505,0.012849765829741955,-15.710307920792765,0.009308205917477608,-12.888599285965867,0.013045642524957657,-303.29296875,2.6711387634277344,0.9623560905456543,13.773505210876465,695.5525021946045
6736392290953930240,279.8034030213849,-33.072354647096525,0.1680559150204309,0.0186663419008255,-9.719062744830026,0.022901682183146477,-31.423085941855454,0.01871592365205288,-75.1876449584961,4.07068395614624,1.0656112432479858,14.002982139587402,685.8999075450845
5918085842900124672,266.59344932994117,-59.04798912565479,0.13325293853293188,0.014839542098343372,-1.627488555124649,0.014947890304028988,-24.25057794679524,0.014308473095297813,19.454090118408203,2.4258391857147217,1.0008490085601807,13.551688194274902,678.320145114134
4450458649852400640,242.69748972926607,7.159996140854514,0.1386610909943362,0.01373972836881876,3.3567712209285956,0.01273948885500431,-23.11042297123279,0.010694441385567188,-119.92029571533203,0.9528115391731262,0.8723199367523193,12.942184448242188,676.1984913072589
6065230602133664000,203.5827105638046,-55.59951484797482,0.12545722560146008,0.012463008053600788,-21.30064391845688,0.011771457269787788,-6.024091358974504,0.013356600888073444,103.14350128173828,1.2915194034576416,1.001533031463623,13.221735954284668,674.1825454921736
