source_id1,source_id2,ra1,dec1,ra2,dec2,parallax1,parallax2,pmra1,pmdec1,pmra2,pmdec2,pm_diff,sep_pc,g_mag1,g_mag2,v_diff_kms
3.309419984020798e+18,3.312613000147192e+18,68.4626315976831,14.844319676275646,67.9373303656096,15.629243097689292,21.635396574818312,21.9411429349474,103.08256504033994,-24.426545849169408,103.60681970600947,-23.577862998495743,0.9975497659284224,0.9874272337602958,4.6015615,11.270382,0.21703809979330374
3.307504222447588e+18,3.3077825706883784e+18,68.10736950520888,13.113150564848766,67.65616639413629,13.72431676410995,21.33021990255656,21.491451797641616,104.4183193016359,-18.568574281999176,106.56507793489249,-19.248993711890343,2.2520087100264705,0.7070345163950916,10.519593,5.3405814,0.49860955287418524
4.3447442876318776e+18,4.350787615854309e+18,246.4579912566145,-9.166272472649972,246.8700946379096,-8.571955385942378,24.56610388401232,24.53023781095513,-84.4065693112749,5.239800385996249,-84.19636799597292,7.675730675170779,2.4449828152100754,0.5156475729107687,13.540623,8.568755,0.47215090311673563
3.003146828214396e+18,3.003146828216907e+18,95.9095265348522,-9.647604941229186,95.91004318663248,-9.647631523182676,41.827689642723,40.767538114360015,-61.33526984961311,16.980038621736384,-60.10074613565783,16.076438724873423,1.5298828628129344,0.6217125111289478,16.822691,12.672477,0.17561328682316707
4.536705665075328e+16,4.519817853498867e+16,61.56774806806588,15.698032862131647,62.49039974488908,15.416883616520485,21.1750396454176,21.226790158930136,118.96454993102434,-19.715098672341668,118.52269589876772,-21.85428299885201,2.184340762932592,0.7760400792813718,7.7056403,14.58098,0.4884160629134075
1.4567457473995187e+17,1.45784835140102e+17,66.34285323849276,22.29367359328652,66.32628208468356,23.060624403370937,20.91185281250576,20.7536113300791,104.35453085558618,-44.435815183648266,106.44698152807058,-43.957385307406525,2.146449385208307,0.7388927539198561,4.167236,12.954094,0.4884257751580023
4.701934774928922e+16,4.97292315944201e+16,61.415911881822005,17.937590072728447,60.20380195133232,18.19387756746013,21.953883088547247,21.85669141594702,128.35318981625193,-27.322745774321383,130.27507482032178,-27.86443910589072,1.9967657935609917,0.9621306893799072,9.03908,5.804048,0.43211796930007634
4.913168138422118e+16,4.913168138422195e+16,65.43537023809772,20.402754686332496,65.44163945529262,20.395550027325378,20.282688061310395,20.540163199450884,104.08247386373684,-33.55629455480451,104.811415931944,-33.41532847520043,0.7424472872878424,0.6180759222785106,17.242485,17.93693,0.17243143272410327
3.3118838177788206e+18,3.311934086075989e+18,65.15179237979066,15.095358731795551,64.4656126372456,15.227063447450588,21.08990632844373,21.125368661812228,108.44328858667495,-21.17075959243724,109.65233201547665,-21.86460130676811,1.393987925799272,0.5639983208657063,5.2019286,14.218251,0.3130715014305481
1.3873493794948096e+18,1.3873490659606392e+18,231.1217925864527,37.37755402807135,231.1278870642952,37.348330140822426,26.57591538063661,27.212641011027213,-149.92769409565324,89.57304686374037,-152.14871758293611,89.59346379106437,2.2211173273790714,0.8806369891526397,4.1502557,7.4470973,0.3915035984149339
1.4668725544050962e+18,1.466873344679079e+18,197.58824489678497,32.882975294708444,197.58822595891712,32.9014187589585,21.29243747345908,21.01998234241416,-176.06755301154303,1.6730227314609103,-175.88469431694617,1.6260453200246427,0.1887966614506726,0.6089377309713019,13.302989,15.604242,0.042303918211322115
5.294553833874248e+18,5.294553833875028e+18,120.5102100463997,-58.63979593317288,120.5097697844504,-58.639682576545766,20.91751554401492,20.53392177816148,90.23883557466726,96.94562837625104,90.97190058562067,97.06137109596912,0.7421460014389777,0.8930783253961523,14.559965,15.059008,0.1697477022317524
4.819073994842918e+16,4.897737179895437e+16,65.45715988181011,19.48555339782339,64.76349608728894,19.54416507668267,23.617976590783137,23.15525128761623,125.40901399127284,-35.864619672116376,124.0352746848689,-34.86756842243287,1.6974306691157215,0.9777190696875848,16.695667,13.95013,0.34407161754423876
3.309419984020798e+18,3.312564037520034e+18,68.4626315976831,14.844319676275646,67.96911967367434,15.49937349658422,21.635396574818312,21.871807832755163,103.08256504033994,-24.426545849169408,105.36486514556807,-24.24098903749085,2.2898308017590843,0.8196670122155165,4.6015615,10.49808,0.4989951923387371
4.5347470437467126e+18,4.534747112466197e+18,285.298801840209,25.843983372084352,285.2960541948914,25.849803735483057,20.03849120594656,20.432179006216067,-6.214234270514123,40.04796038852266,-7.248064401286684,40.55156327480842,1.149965480511724,0.9615663165173564,12.982521,13.527778,0.2694005971132901
2.639705664835096e+18,2.6396996518808827e+18,355.74866281119864,-3.097546411124785,355.80158626335015,-3.1937519043326903,21.35413326931948,21.131348886483543,277.40008722405327,-48.20949100385609,277.20480926437614,-48.17716757863021,0.1979350533735618,0.5018832642441527,14.771917,16.465845,0.04417090605569165
6.864028183594624e+16,6.864028183413683e+16,54.58082722352369,25.52124806308272,54.58115467541029,25.52160029116672,24.252540640756475,23.95643045087112,68.30316556665849,104.31631276169692,67.76390346626603,102.34802321874352,2.040825161011936,0.5096524267871185,14.894651,14.582948,0.4013581479426035
3.312564037520034e+18,3.3128493264284247e+18,67.96911967367434,15.49937349658422,67.64062132435598,16.193900711881753,21.871807832755163,22.18747294665825,105.36486514556807,-24.24098903749085,104.88879350180169,-25.445976467323547,1.2956229837623456,0.8880282737518062,10.49808,4.752029,0.27880168018517393
3.314063908819076e+18,3.313978112552491e+18,66.35479242496689,17.91521008711174,66.02452121402943,17.443985101312077,21.447339313427232,21.61924104437301,109.61815254023466,-31.353316361727813,110.58004635581656,-32.8087266938356,1.7445512165771504,0.5902340256223303,10.60706,4.7558556,0.3840585889790113
