source_id,min_dist_gc,origin,v_gc,phot_g_mean_mag
1.3832790905272274e+18,9.422351398065665,Halo/Extragalactic?,812.5882488940073,12.998040199279783
4.337459232822885e+18,3.449660772871,Disk/Bulge,778.6292165625392,12.49757957458496
4.294439878351151e+18,5.54574227185821,Halo/Extragalactic?,709.8366732898859,13.90223503112793
3.877058564258759e+18,12.446362254044136,Halo/Extragalactic?,703.2808300635314,13.50472640991211
6.655834986669992e+18,3.1722580352969665,Disk/Bulge,697.1572799573012,13.159135818481444
1.480182073940289e+18,10.937321226602512,Halo/Extragalactic?,695.5525021946045,13.773505210876465
6.736392290953931e+18,2.5131048453025664,Disk/Bulge,685.8999075450845,14.002982139587402
5.918085842900125e+18,0.9675139580846556,Disk/Bulge,678.320145114134,13.551688194274902
4.4504586498524006e+18,5.588236240080603,Halo/Extragalactic?,676.1984913072589,12.942184448242188
6.065230602133664e+18,3.494076531582029,Disk/Bulge,674.1825454921736,13.221735954284668
4.5672259300294303e+18,6.565143901245601,Halo/Extragalactic?,673.4944547613765,14.036027908325195
4.382874732407367e+18,4.29332786998193,Disk/Bulge,664.0500696195455,13.385852813720703
6.736485951272919e+18,3.506562780783896,Disk/Bulge,651.7604239118315,13.22080421447754
5.923272514123368e+18,2.8999576480207088,Disk/Bulge,637.3858303425699,12.089146614074709
6.735735057863069e+18,2.1453205630256584,Disk/Bulge,633.3770929730073,13.636719703674316
6.730109715851727e+18,2.1701180982590014,Disk/Bulge,631.1437033463441,13.329832077026367
6.619340275892884e+18,5.934317262860314,Halo/Extragalactic?,628.3762728631539,12.825236320495604
6.049700103459502e+18,2.3461966809984194,Disk/Bulge,628.3175110223287,13.282389640808104
6.4411636950583e+18,1.2953091861943495,Disk/Bulge,625.0201501933659,13.999516487121582
3.8592947470259753e+18,11.057817040598025,Halo/Extragalactic?,621.997854767404,10.80262279510498
