source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,parallax_error,pmra_error,pmdec_error
142132596813836160,45.45230498082764,37.55532813142934,22.823587658319738,173.68543135789062,-61.94390332446014,14.332077,2.9286585,0.02671431,0.027654316,0.027485114
204847163812176896,71.15458494361572,44.02233250874847,21.81554940437365,2.281115190952775,-62.36217689571963,15.793227,3.266489,0.042870436,0.05084855,0.041579124
206312915890859264,74.57590118407204,45.446321701248046,47.47656647682602,-10.949845707398588,-117.60210829708527,13.160486,2.9356394,0.019083234,0.023887858,0.018991983
231113740685855616,56.76446366591412,41.42279214714805,41.4987896504494,588.4802619728698,-1261.5763843541208,8.451743,1.1327901,0.042532977,0.046581134,0.036949996
240945608019526272,50.75898299776098,42.00439890090189,67.8820967236646,275.3826613902202,-688.1409048369072,13.611773,3.3328743,0.028751401,0.032600187,0.026189726
241273880959864704,50.453789822869005,43.413000645671794,21.966427971795436,-41.90118473244556,-90.74318867192893,12.362799,2.2190275,0.021377472,0.021531338,0.017227253
243645699341060608,56.84246009876369,43.98288784291038,31.33882509769567,-159.6265031366372,75.86672773204894,14.012205,-0.091685295,0.027680857,0.031320293,0.026190408
244635397245256960,54.76846717793567,44.88149020931506,24.448093093419498,-106.1905811162631,95.52419014459187,8.422358,0.948884,0.021272123,0.020870002,0.019429669
248004472671505152,53.308984280240246,46.254504746324564,27.48085387139924,68.90232736097906,-172.5846849639144,10.496969,1.7146101,0.015828872,0.014599973,0.014564991
254503754623418240,72.93393558425788,45.83165590842477,32.230393056668674,372.12682536366924,-553.5830667829341,6.8036737,0.77790165,0.02940041,0.036904622,0.028433308
256898937624567680,67.64974173039164,46.43400544896408,26.377274511003233,247.60436177893263,-434.95760679194564,14.972709,3.360425,0.03903927,0.04161397,0.029313548
266559590381963392,79.31533022414526,53.74355169254315,20.576726921425653,-26.35373632830421,-536.6016021866141,14.89493,2.7731504,0.030581182,0.028863382,0.026022702
281261607033049472,78.87996511574303,59.18370662143835,63.35932169133488,116.46679462115102,-1005.9938652003727,15.289462,4.521228,0.23899458,0.21112975,0.1820189
281567133827357056,82.01096112155213,58.203662511105364,29.65705359942187,-37.42882074626311,-254.14576422620874,14.135875,2.855713,0.020210274,0.013773527,0.013234983
285353027238898304,74.21623407495908,61.069397286354885,20.321165920608113,215.4256263226653,18.50320824939306,12.913063,2.3203325,0.022603594,0.016519925,0.01777387
333054411497081984,33.38073268206419,40.53753883094787,20.07240237020669,108.82329596048429,-168.09516167126478,17.20056,3.8104534,0.11469209,0.14218473,0.14121896
335471859608962304,38.764506440449345,41.07803842643808,21.796971995770146,178.94686823701952,-54.83061275744659,14.500976,3.0015898,0.03483023,0.02983383,0.029044423
339902410432713472,36.07508782209419,43.829469600801445,20.275420587511228,280.4083226961024,-155.0533496502125,14.698351,2.6400518,0.027812423,0.027450085,0.03030031
345975386812736768,29.206614014443755,41.70756514589009,32.780491626509956,-232.51623995491047,-182.09038433960723,12.650349,2.8172302,0.11489586,0.14589673,0.13833341
350529499553216512,24.161814739332964,45.003707343783596,22.05178692067562,136.3587061569029,-112.19830892431239,14.542403,3.0734825,0.028743908,0.025773238,0.023628421
353443445884933632,32.96150636121486,47.47475400524478,23.18657534856218,-83.48112250416497,-54.991665087742255,17.065166,4.79107,0.1462114,0.14671725,0.18218337
356922880493142016,28.012371952646653,47.002389874237195,60.56433165675938,4.645151488137252,122.02466751166327,12.495588,-0.11815357,0.031045204,0.03072777,0.027368868
378026395579692672,13.47383930194673,45.94487927502636,34.5643533205104,305.5069519658906,69.63017700376352,10.417263,1.8582783,0.024694812,0.025965402,0.01990722
386130277311206272,3.4419730168878284,45.910701678571435,31.004666587871597,-144.0212647470076,-142.07048186975254,13.612372,2.5758476,0.016245179,0.013842448,0.012802402
396682049885322240,20.823374287163052,43.3688582160246,24.513603477999528,55.70702931688986,-361.7555731233549,14.564405,2.805419,0.022909839,0.021164803,0.025353147
407475165259507968,23.490081349273108,53.33954602258505,21.988042766365535,125.00756570429236,-89.4851229981321,14.398864,2.840498,0.028918458,0.02429163,0.02552223
410884128047643264,19.86078984374463,54.843715535331654,24.293065578218233,166.81705301220822,-52.21693074122415,14.116847,3.086505,0.024703447,0.021823008,0.023062225
411868710654279296,16.4162053578548,55.55684353464745,23.187994498395327,-120.3554382363142,-10.881033148658657,17.4609,4.197796,0.116255604,0.07693796,0.102515146
412665890941024896,22.775095229047963,56.282624654757576,20.71426636864419,75.92880231700417,67.33521069326878,17.543428,0.57219887,0.089080416,0.057277534,0.05603613
413893182142131584,19.417546513782842,58.49726837304009,23.076868551882296,102.09222857215319,-44.73546485858341,12.038133,2.3791676,0.01563093,0.011681554,0.0137770055
418629470213009792,8.329511809457022,55.679672642397946,21.870046982641345,87.67549896897661,-41.63445269654966,15.952998,0.27640915,0.03636588,0.031242967,0.03492575
431635455820288128,0.6036631273956624,63.96274307670881,38.0576410247483,918.8258432602287,108.05484982151397,17.00943,1.1513519,0.058539525,0.052663047,0.06564866
439357119819592960,46.10243357982957,50.0330114598983,27.76701947881309,-207.95132753766208,144.11573268585215,7.838883,0.83439016,0.021990903,0.021707682,0.022020433
441091908649835520,44.034514635292716,52.40281455581847,29.938500709390592,457.29027557896063,-351.57594894628767,12.753609,2.6406355,0.023038125,0.018381853,0.025537983
454286043888629504,39.11094233180394,55.475054325774764,34.18214008543211,-251.1520374712378,-255.5894576058705,12.085502,2.5641975,0.1539766,0.13985005,0.19103919
455808803070744832,34.2709104784996,54.58289802939093,49.03161764193878,-64.65854609050547,303.4812795235798,13.48304,2.9097204,0.020035299,0.011799775,0.015767217
456614676375614336,34.047381799735696,55.19748940747308,32.227249730757286,-24.22996156322278,-98.3204145937558,13.714408,2.8822641,0.016737986,0.0115698315,0.015265616
458764255967868544,34.11933995097091,58.39077758078721,25.614151071539016,234.54910111574318,-114.46232023278468,12.597191,2.3600168,0.015937641,0.012776946,0.015299081
469602107717323392,58.546456847947795,56.82307238693366,26.5510209445128,275.3404657552941,195.1528154499896,13.938135,2.721881,0.028928122,0.032736916,0.029104643
475959209071798400,68.87861805976294,63.789910654805794,21.729535748609006,-77.93857488598462,9.696917691673901,13.832628,2.5898867,0.01650941,0.013368744,0.013152656
483356688942942720,69.88210879287185,66.59614458044193,23.73307459841615,-45.89261862938871,160.84556008488693,13.3863735,2.3932333,0.011889324,0.007605467,0.010907299
484652463395883648,80.9459479838542,68.69451584761522,27.312388012478838,6.452632811856226,-313.8207143733397,13.716616,2.6102943,0.0145050725,0.008697282,0.012665669
492053585402171264,48.40781852275278,65.3554168425425,44.34520923264207,-86.81655225996874,172.4524102014505,11.109747,2.124136,0.020210665,0.009578706,0.01783225
499842353970836096,87.79356513464899,74.67502824882753,21.437694626968728,41.048664150077364,-236.4616566995398,15.593264,3.5536098,0.07211488,0.06376615,0.07856712
504780329417576448,27.548939950955315,55.9405955745843,20.590968559126864,140.22587068842174,-23.310350665095648,17.306252,4.123144,0.107555404,0.06872323,0.100674935
511303834982876160,27.517099128768507,61.3210668990893,21.74571670702405,-5.083848414897494,-8.4400341832242,17.10118,3.9607916,0.08213344,0.055482198,0.05962476
512093593572007552,25.501457889619928,63.42638867082151,21.298837761774507,-199.7842775378317,-177.75619036184474,14.355663,2.7447233,0.017745681,0.014892758,0.01819131
513177059201155200,23.55695919814742,64.99436733891606,42.26250196530243,889.2420967318956,226.29047055465136,14.624572,3.4397383,0.026334178,0.022092901,0.027315095
513461729629337216,36.7018595312718,61.2979397954934,20.356888877298633,76.97828548207224,46.90579524548522,14.029887,2.4338322,0.017218392,0.0153004,0.018672984
517324107818782080,36.191236404346384,67.49241179293391,34.87688355701177,336.7420064172895,-263.76083272968526,15.564098,3.7060976,0.03679871,0.028810928,0.036330543
517650143080142592,37.27078195050208,67.4015578373054,22.11680874004488,-44.02170120945293,9.625375833936646,8.129601,0.8930626,0.06532684,0.043198068,0.061071903
526331891194068736,13.107742152663686,67.40229418484772,38.076316174951465,-135.3150582967036,-6.597019634065716,15.677119,3.8558302,0.043750953,0.0434147,0.04956101
536292538825409536,8.373391108309507,70.91114999934746,20.78808518433836,-235.65336978160613,-135.35067788082605,14.056446,2.6426258,0.015691292,0.016164413,0.018084193
538681880669776768,10.37646634434317,74.46969326090192,20.85065845372185,-59.345599785152025,-32.192317957351015,13.220957,2.5346937,0.01183232,0.011927193,0.013644916
540024624884241792,8.791751153790054,76.46524576062326,50.510391868446604,501.50720871080733,32.75749932059383,15.420662,4.093294,0.040806442,0.04675729,0.049494226
545023554500378496,37.15518637652337,70.00291631312082,24.974629467674845,-103.23311716967206,-118.19040177903719,16.87035,3.7492552,0.069641374,0.05899665,0.07024159
545341450798523776,35.76018244411188,71.1761412039904,26.768442432050456,533.6521440929167,-172.47472521176223,8.697032,1.0700636,0.013842344,0.011718413,0.013460936
545367014444503296,38.445343724000615,71.15848556839201,44.10135009013201,104.3893508412084,-160.95027200764417,13.809395,3.1490526,0.016506333,0.0140262805,0.015990108
548075382163689856,48.493570905391536,75.29879972917436,22.998926242928857,31.897698463808105,14.042385257912745,11.936494,2.1796284,0.012960881,0.011342528,0.015374909
548478735430284416,42.39618402084004,75.02273888719627,27.335348766250565,-14.763344195228967,-183.85873307519483,9.351633,1.390748,0.026311768,0.025133984,0.029341094
550301107233576320,65.49943035167864,75.13902554613937,51.414150392748944,541.6207914547289,-486.97034907508754,11.111915,2.3639154,0.018358596,0.01722038,0.019243993
552380386801243264,82.62312538178239,77.88481419094967,25.581276498216024,76.97099915296431,-204.7927490522838,12.929993,2.4780636,0.017063998,0.015158938,0.019140886
553639739931666048,88.69913089801679,80.09461278492257,45.0825853880881,-150.6539495609512,-6.622084115855239,13.514499,3.1532898,0.014698354,0.014235141,0.016151583
