source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe
211172478109586432,87.95017246714275,49.04411346246193,17.964018822545896,52.048756,223.71397,37.622107186027485,-220.52781276476682,18.883514,21.15822,17.334143,3.8240776,0.99627125,0.9710617
232852717106942080,63.3429561103725,44.74268365428133,15.743852262148295,62.875637,244.85146,161.06120894862647,-184.42212131408795,18.904858,20.893486,17.372892,3.5205936,0.9595027,0.9989021
246775562271434752,60.62257973436698,48.21474472662488,21.372972984770936,174.27466,258.51263,138.75446477632758,-218.11919806139812,17.965998,18.288889,17.32241,0.96647835,0.34078592,1.100973
261069144711056384,73.7983834350297,52.87121113777408,41.97443938741423,328.26556,810.31134,-114.54899629663612,-802.1738970843375,16.63703,19.861248,15.122515,4.7387333,0.81621575,1.0786346
269226279739467904,83.84757704523047,57.26471319244842,24.370235927633658,204.79991,280.72665,175.36988932716872,-219.20960842994413,17.91409,18.427082,17.260555,1.1665268,0.0,0.9943778
287949592667076864,85.09475933269383,64.28386277438936,57.30677339297359,443.0406,340.7669,-324.1074498554023,-105.24464844933009,17.315636,20.414886,15.755761,4.6591253,0.82563734,0.9270193
334716353385995648,37.640606126529214,38.575778090234714,15.387652212220562,60.717983,261.85416,260.1743503044386,29.612585649587277,18.990082,19.510126,18.397694,1.1124325,0.0,0.93621725
352200138749697408,33.36964299767751,44.74524585364714,51.68026052908957,285.8009,154.96553,-52.544168475304446,-145.78554358035245,18.219933,21.18242,16.666395,4.5160255,0.60903746,0.9832664
377003295711606400,15.785663938175054,45.158084285052645,42.62534342445165,190.93098,402.7293,402.6082640187652,-9.873157406945264,18.40169,21.371536,16.8331,4.538437,0.89615935,0.9555489
389364696923273984,6.6777589795522845,46.56075293415149,10.349930155744577,25.26986,13.030328,-6.933779580191514,-11.03232258206682,19.950476,20.405882,19.30263,1.1032524,0.0,1.0008799
390606664024365440,10.82323451074551,49.02870500888562,16.977277294863175,75.762695,451.33472,398.84773838416214,-211.2427478044076,18.780626,21.217382,17.272446,3.9449368,0.91736966,1.1149452
