source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
2451036066578000384,23.265660284486223,-16.37184513909908,4.352563995629289,96.32745,593.81055,478.88608033015646,-351.11124163333307,15.90079,16.660797,15.020346,1.6404514,0.0,0.9861311,LP  768-79,PM*,6
518418293689809280,28.58999787326156,65.69745999445331,8.288447171425958,319.7557,593.27545,582.6879239333211,-111.5818881799764,15.279809,16.169184,14.351945,1.8172388,0.0,1.0064744,G 244-41,PM*,6
1543076475509704192,192.0419440449957,47.223114024117486,29.56540602301888,276.6256,593.1856,198.60609389814863,-558.949744045889,12.996362,13.9290695,11.262168,2.6669016,0.67933214,1.825836,G 123-61C,PM*,0
6890201563781799168,315.8488592195484,-10.542505987364455,33.28223904576595,1756.2823,593.03394,303.0143986892837,-509.7759426411342,13.822774,15.490648,12.584503,2.906145,0.040095694,1.0871494,LP  756-35,PM*,8
518418293689809536,28.58920296133392,65.6961316137968,8.254303397133858,285.3838,592.9733,582.5473108434395,-110.70692493634344,15.535895,16.443676,14.593519,1.8501568,0.0,0.9858956,G 244-41,PM*,6
5159401108670161792,44.64823918156056,-12.338428975610563,23.615720080148304,148.73668,592.63696,592.6298879448731,2.8913358856420586,17.79448,20.746815,16.303186,4.4436283,0.7218441,0.8467738,TYC 5290-297-1,PM*,0
320430403100626944,20.988876018164053,35.17071397879067,8.54199048985308,312.3176,592.58844,591.350120334803,-38.289349979905325,14.877064,15.760725,13.9478,1.8129253,0.048270416,1.0820253,G 133-7,PM*,6
2668447685149584128,329.4702865656484,-6.447876768179408,8.9631785959723,109.83954,592.10077,567.9999847531739,-167.21041397083988,16.951925,18.132809,15.871559,2.2612495,0.0,1.0227492,LP  699-10,PM*,6
568953600443925760,30.49412208528394,81.17202501444535,18.713118220090493,578.3154,590.57214,588.2531123205409,-52.28533418250067,15.865975,17.642147,14.595004,3.047143,0.0,0.99740475,LP   13-332,PM*,9
2382320781730066048,351.6668695773887,-22.72373607844842,9.272930021957992,655.94147,587.3502,69.13371518576727,-583.2673797962069,13.391884,14.138348,12.55191,1.5864372,0.0,1.013054,G 275-46,PM*,8
2380152677943597184,351.5474912229934,-27.246800857528587,8.018740179213898,18.449049,585.5803,576.9616199957,-100.0980309626002,19.74416,20.095346,19.21625,0.879097,0.0,0.94415516,Gaia DR3 2380152407360674432,PM*,2
6590519052472909568,323.9133289914918,-34.81314750407461,15.359472568599143,656.20294,584.8955,569.5570617974079,-133.0694698299421,13.698227,14.88984,12.611895,2.2779455,0.06266255,1.2595025,PM J21356-3448,PM*,5
