source_id1,source_id2,ra1,dec1,ra2,dec2,parallax1,parallax2,pmra1,pmdec1,pmra2,pmdec2,pm_diff,sep_pc,g_mag1,g_mag2
3.309419984020798e+18,3.312613000147192e+18,68.4626315976831,14.844319676275646,67.9373303656096,15.629243097689292,21.635396574818312,21.9411429349474,103.08256504033994,-24.426545849169408,103.60681970600947,-23.577862998495743,0.9975497659284223,0.9874272337602958,4.6015615,11.270382
3.1876061559305216e+18,3.1876061559305206e+18,72.822646493722,-7.233859248833649,72.82331001707938,-7.23260424909228,25.88257816177033,25.842563977904483,-104.93536018500626,-8.208837563577278,-101.47004618044852,-10.668511754163893,4.24951741660414,0.05983100764578357,12.263887,15.558958
3.352137964975002e+18,3.3521379649712947e+18,99.68535111350084,12.14657494992211,99.6850546475175,12.148182029256605,20.40557050302153,20.410427371215057,-46.99012865577259,0.6939288812779961,-48.21995126099245,0.383610772698795,1.268369413389471,0.011744857154908686,11.927823,12.776932
1.1221611936475886e+18,1.1221611936475885e+18,133.66151264798975,72.526104422529,133.66459479533293,72.52561730946718,22.816715664888868,22.80662150548721,-99.70048281930973,-283.7918631442909,-99.25267327688216,-285.86702484340714,2.122929453318718,0.01941445795795682,13.59421,13.321872
3.3075042224475873e+18,3.3077825706883784e+18,68.10736950520888,13.113150564848766,67.65616639413629,13.72431676410995,21.33021990255656,21.491451797641616,104.4183193016359,-18.568574281999176,106.56507793489249,-19.248993711890343,2.2520087100264705,0.7070345163950916,10.519593,5.3405814
2.998078075314396e+18,2.9980780753143967e+18,90.20567198677917,-12.150904470105782,90.2017060563753,-12.150936639503335,21.01749232812238,21.0631767490983,-6.538267232202413,-91.84395816502172,-9.175332200683664,-91.0476482164952,2.7546726088799227,0.10324622285051438,10.187034,11.643803
1.3735767250454426e+18,1.3735764458715692e+18,239.17125120675155,38.288915925153965,239.1899490646807,38.26727070602718,24.607482160656406,24.834787163458014,88.71556341484835,53.02423799414065,84.31020682709831,52.05798263280813,4.510079388274276,0.3724052830473804,14.482754,11.625941
6.088101440414574e+18,6.088054505011961e+18,198.45512545981293,-45.18106569564738,198.46691288473983,-45.18629671995247,39.99436876511247,39.985887248899765,-114.64632488059624,-111.85655845696816,-110.0757855152482,-111.45293588333402,4.5883266309345405,0.0068182210712972,14.172836,6.763095
3.258132920543659e+18,3.258132989264973e+18,58.59439947119488,1.26110008668023,58.590143504163095,1.2606526980263342,22.488493276520988,22.533193289267384,21.14415661722905,-116.91689156180784,21.49244011598113,-116.3895077952898,0.6320087283335143,0.08827371406933678,7.829637,12.950192
2.8656831700916623e+18,2.8656832044514007e+18,353.61428842879377,27.66162205287639,353.59528470061866,27.66509147984325,20.196874413422453,20.287239965725348,94.60320882370678,-75.40313762095153,96.23914860413362,-76.78843781646529,2.1436780534570685,0.22104148534523402,13.137561,12.225194
4.3447442876318776e+18,4.3507876158543084e+18,246.4579912566145,-9.166272472649972,246.8700946379096,-8.571955385942378,24.56610388401232,24.53023781095513,-84.4065693112749,5.239800385996249,-84.19636799597292,7.675730675170779,2.4449828152100754,0.5156475729107687,13.540623,8.568755
4.714764481913306e+18,4.714764447553569e+18,31.859670303853697,-59.6795100616006,31.88502312843487,-59.672616666624,22.025537666084357,21.99808284721086,92.68260499861168,-18.400782496519287,93.65716406437096,-21.766345045322367,3.503823146587094,0.05782469864698594,7.3844132,9.886315
3.0534928815416397e+18,3.0534928815416417e+18,113.02977166454498,-8.884632559704668,113.02359835146886,-8.882072210623937,34.87844401246115,34.88318402291259,-91.22828237625616,-168.04960218053589,-91.9858774282848,-167.78884823083848,0.8012133830266844,0.005112062717871703,9.866846,5.7767076
1.2214736880742098e+18,1.2214736537144724e+18,235.08506914969556,24.99565568012128,235.080568558886,24.994937843696064,23.346467031954983,23.38153875625025,-304.50189841814586,109.15036165607916,-306.4584695877677,107.25670501642446,2.7228856404013144,0.0643229339635784,16.03266,12.702829
7.812108498520992e+17,7.812109185715766e+17,160.8564981486016,43.7987724119683,160.85196435789385,43.79999456631157,27.195573860791036,27.21727983367188,-152.9479166637883,-22.31219731508437,-152.42404632729702,-19.952066427170926,2.417572736762761,0.029410379372255192,13.287511,15.019358
5.226381982652637e+18,5.226381978352399e+18,164.85390363604225,-73.03019841548162,164.85133600504713,-73.03143689943907,20.48662554700589,20.46400238877908,-110.61185543335104,27.590707092202837,-111.2535278226228,28.817468944847903,1.384445050646245,0.05397662575958033,15.063414,12.527761
6.416985610462358e+17,6.417104108604209e+17,145.7546731567984,23.82176248850624,145.73733109678108,23.85446753394632,27.550148651846904,27.85925566407156,-164.54945353233936,-213.4641773598852,-162.68913822358513,-212.7925577913782,1.9778386923070566,0.40338181759788444,11.332231,17.191278
4.084430820954393e+18,4.0844308209543854e+18,289.873138757538,-18.32033743307608,289.8796150647963,-18.32497458375152,21.286711309878413,21.2740888352514,203.42173607911508,-482.1232443795848,203.7760155235572,-483.4903944020431,1.4123077244927729,0.028579673813486445,13.704079,15.089575
