source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag
141479766080535040,43.28418838674986,36.96546830115924,6.2063055366935584,23.277571909740253,-25.78734898452483,15.224617,13.496751
141834289860733184,42.114304817208016,38.14173837267706,2.2089182876159517,14.35450437967317,-9.770944425131619,5.14021,10.96166
142305568032276480,44.94933903430187,37.494440953450855,4.987895205731308,-31.148424685005367,-41.52287249319728,9.64948,13.114995
142864046922675328,46.58908789094063,39.10199417718843,3.4183068501511,8.801152639673761,-4.872970103413653,6.1255236,12.385135
142991663287848832,43.7076551426811,37.305403542354405,1.8265262013351884,-9.280745700219159,-6.960585337569836,5.4107127,13.139824
196912984824817536,88.69080636867504,45.39439051546347,3.923954406708287,15.127999624329394,-18.567967638212625,6.695386,10.373057
196986514664794368,88.73328147732913,45.835659223639354,3.7232562475397053,-5.8380093049068025,-10.468218396080058,5.382306,13.503894
197311798307390464,86.81232997065311,45.61485029534564,6.795046320793846,3.1548363813344547,-12.79997662320617,8.751109,10.703024
197606089465535104,87.51728105493287,45.34755582954174,1.781892849785306,10.77490542008544,-25.730324394443585,6.961638,13.021634
197780907519968000,89.76222245708675,46.470912554493246,3.3063653761399263,-2.678206485362366,-20.22478701170701,11.756679,11.601742
197983977869211264,87.73182883891303,46.683782567838065,2.111226783136517,1.8996532154873924,-20.82055840175026,8.165605,12.951004
204679453928192000,71.09267186294888,43.41990498863299,7.685971111334664,32.55812292040341,-30.313680480830755,5.787894,14.340807
205374581497324160,74.79593519185029,43.99401866093683,6.842980672792469,-29.51951945401748,-39.270801268479936,6.1188607,13.437478
205797073138247552,76.01945785552942,44.79684796257416,3.1802347532654016,22.672940246451635,-35.466235941092336,5.182132,14.916771
206222442403751296,74.55804982083865,44.860829695875815,7.173883263163777,-10.636254683357066,-37.73011385636413,17.947468,12.115789
206419602879260288,72.45362594793735,45.120079448402045,2.636741744720137,-2.9744956090471204,-9.71661654761418,5.3482985,10.63363
207089652137938688,77.28028021998992,47.5806499352091,1.8185976963842925,-10.333767635420525,-18.948202224435086,5.623869,13.2176485
