source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe
208396421707959808,78.74325899218691,44.5261738607827,23.871208101615082,340.03354,680.1127,42.55811208059898,-678.7798029706057,12.887859,,,,0.4195991,1.0274625
214657178351426688,88.82307592462004,51.08269933648968,20.20828576895596,1307.509,609.9872,364.16419991401074,-489.35545763890866,13.695967,14.904225,12.60458,2.2996454,0.03534654,1.1744013
231113736385994624,56.76235050997171,41.42172296160873,41.90345569916625,1768.6887,1380.0856,597.9164120882347,-1243.8376070504432,7.91092,8.30968,7.3325033,0.97717667,0.1460854,1.0507993
254503754619088512,72.93497088664508,45.83022020404459,32.02867769686272,345.24658,680.72394,375.77064926293417,-567.6103461854436,14.828349,15.468526,13.260739,2.2077866,0.60592604,1.3478191
258996015538087680,71.58398349941925,48.74489866356334,51.341577325151164,882.92834,1201.5295,1020.2277924253515,-634.6718680864963,15.045763,17.528238,13.646408,3.8818302,0.37615114,1.3843988
283569928616960768,86.45398752483742,62.233278096244746,74.1187240892331,4112.6353,840.8343,297.263402945699,-786.5346566444352,8.38387,9.244538,7.4721923,1.772346,0.10751134,0.99108243
439801494314097664,46.583929710548276,51.05396400317978,38.40324596687606,1564.4641,865.57794,702.9256737685462,-505.09466619986006,11.822724,13.206184,10.65615,2.5500345,0.19061016,1.3359281
453562088496088320,42.14855510212976,54.387861136028064,92.0361989364657,3050.349,572.5739,-423.5459309004648,-385.2917593227337,15.117151,15.592888,14.4765625,1.1163254,0.0,1.010324
461701979233050624,49.06146615550071,58.16732758589717,73.57693705785664,3950.4673,523.3447,415.27678693898264,-318.4884468275154,10.193903,11.395733,9.102655,2.2930775,0.12253332,1.0055516
470826482637310848,67.81389197465391,58.969481205135885,181.2730074917688,8947.963,2361.1292,1334.7796929514584,-1947.638150541708,12.33619,12.493927,12.051627,0.44229984,0.13835116,0.92638206
512129087182637696,25.91570147910094,63.82080833636605,73.97694829807692,4038.7244,704.1914,-395.2102611682793,-582.8330852770017,7.9328227,8.622169,7.129455,1.4927135,0.111162774,0.95129997
519478154178249728,25.415058448088015,66.90876139619189,26.719211338146764,1661.5748,741.7956,692.5340719639942,-265.8143175319494,7.534136,7.8734875,7.0201674,0.8533201,0.109294415,0.9734469
540136568911394944,5.853328308291732,77.18949370674841,52.26920080385856,4431.2485,838.6441,-837.4275392665952,45.15536907999602,10.425796,11.551885,9.372041,2.179844,0.09472907,1.0061883
569821974111727744,63.51645882603903,82.25759093058488,61.302681246955366,3613.6548,621.4291,252.21205087857277,-567.9464843246551,13.526007,15.505485,12.213501,3.2919836,0.1335844,1.1888906
810471190728751232,152.48641335402428,46.85196092833893,11.518844766807623,383.868,709.81036,-23.450895075493662,-709.422842188708,13.754227,14.757647,12.756485,2.0011616,0.21457441,1.026399
816124192322824832,138.34171179552138,42.19019715714593,21.854387772050657,740.5126,554.7904,-326.9257366076207,-448.2320490590513,14.415764,15.753407,13.242775,2.5106316,0.12615593,1.3023022
