source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
1437716460972795392,259.4999734293351,61.2022461706045,25.948292989818984,160.27852,169.8945,120.8571727458276,-119.40554568343155,18.463219,21.179241,16.913233,4.2660084,0.9245616,0.9537449,2MASS J17175971+6112099,LM*,4
2307221350118692992,359.2125480881644,-38.46195112009317,25.743994927463863,147.84988,97.725914,96.32622055578322,-16.480695037322764,17.962818,21.100891,16.443525,4.657366,0.8881596,1.0581392,2MASS J23565088-3827426,LM*,4
1087773413437321216,117.6913832004643,61.52209931364379,25.735560994031356,211.99901,78.69417,77.82019670806079,-11.695681474475307,17.783333,20.857313,16.280785,4.5765285,0.6725479,0.9745981,2MASS J07504576+6131197,LM*,3
2006217676803960960,334.50334166619103,56.03850779217613,25.40561524830133,270.50842,256.96582,111.2559324063768,231.63235859267556,18.033844,18.639793,17.284712,1.3550816,0.25224856,1.0469985,IRAS 22161+5546,*,2
1065017822005186432,146.02141627329294,65.63186666761437,25.211043079498225,241.94804,180.56017,-137.14873002966004,-117.44018465183498,17.50529,20.366245,16.025684,4.340561,0.6848001,1.066697,2MASS J09440552+6537567,LM*,3
1103299758870807936,104.04012509545193,68.6836258155403,25.20008442287462,209.59222,66.797905,0.5969519391360212,-66.79523600350673,17.53717,20.075718,16.025414,4.0503044,0.704326,0.9787233,1RXS J065612.9+684122,X,0
2202050043570150528,336.73879870990174,61.66630878997305,25.11860937705373,221.64801,138.2883,-114.56518011611958,77.44982147391005,17.786072,20.80984,16.275543,4.534296,0.87085426,1.1369652,NVSS J222649+613957,Rad,4
991250418666810752,101.67765172309822,50.154141827813866,24.872977042708364,189.78787,66.11754,-44.99192396722095,48.44848010341617,17.759943,20.505621,16.26375,4.241871,0.6340246,1.0665909,2MASS J06464270+5009142,LM*,2
2612345589287743488,332.8356775042406,-12.949065878824763,24.715249359448396,92.306526,226.27515,147.71407818349732,-171.40883999973386,18.586723,20.785782,17.030704,3.7550774,0.87928194,1.1016214,Gaia DR3 2612345589287743488,PM*,1
1773169036176253824,327.80447105201165,17.393574954664874,24.48285530539949,137.58046,82.75158,59.09602490974499,-57.92653464120139,18.184076,21.787598,16.656233,5.131365,0.67061096,1.0369422,2MASS J21511299+1723379,LM*,3
2088442248714858368,303.2445639087201,51.83341859310422,24.38882686491323,174.72772,153.46635,-32.45027608786242,-149.9963335621282,18.223515,21.017078,16.563251,4.453827,0.8952566,0.9472911,LSPM J2012+5150B,PM*,2
269226279739467904,83.84757704523047,57.26471319244842,24.370235927633654,204.79991,280.72665,175.36988932716872,-219.20960842994413,17.91409,18.427082,17.260555,1.1665268,0.0,0.9943778,Gaia DR3 269226043515194880,*,1
2523162448812944640,9.80297989056386,-8.076895510403347,24.329718159252536,129.49147,273.30182,-107.24178307962016,-251.3823605579266,18.150032,21.073109,16.628729,4.44438,0.71869016,1.040137,SIPS J0039-0804,LM*,4
1868919323385801856,318.09386136286395,38.07550160769944,24.281084413413765,113.91522,137.49911,93.40846184566172,100.90027782920458,19.111635,21.626291,17.56462,4.061672,0.94762194,1.0484107,2MASS J21122239+3804300,LM*,3
346573353637110784,29.501147681167023,43.28447233704699,24.17374154237805,155.90623,89.50836,-44.38795548710437,77.7268019297154,17.628286,20.679262,16.15922,4.5200424,0.44293338,0.96528095,Gaia DR3 346573353637110784,PM*,1
2286943198903839872,340.8095173624382,81.41369488435414,24.09991948587885,267.59543,141.79979,91.25539039481062,-108.53403007754136,17.636538,20.660686,16.159319,4.5013676,0.5108571,1.0416746,LSPM J2243+8124,LM*,3
2397269462648462336,342.2461926779396,-21.90114743259772,23.616362078194072,91.540855,98.42033,98.25752971694811,5.658508839754943,18.57486,21.356237,17.02191,4.3343277,0.91143334,1.0744882,Gaia DR3 2397269462648462336,PM*,1
373038151839778688,17.335482351096474,41.764518339184185,23.607048566559207,121.91345,125.369194,125.26157427100144,-5.1935074521873705,17.688627,21.042202,16.176989,4.8652134,0.86582303,0.8908293,Gaia DR3 373038151839778688,PM*,2
1095345479434185984,119.20575805974968,66.83225418999076,23.49525243858702,191.71776,266.91907,161.93030391025002,-212.18945951987135,17.763632,20.78011,16.26376,4.51635,0.677084,0.87718344,SDSS J075654.96+664944.7,*,1
