source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref,W1,W2,J,H,K,W1_W2,dist_pc,M_G,M_J
2202703050401536000,327.9163604193208,59.2929297833234,118.15513655131949,7614.7266,88.84971,-86.74227008780505,-19.236664849105665,14.373105,14.813503,13.762923,1.05058,0.0,1.0251036,Gaia DR3 2202702874294360576,EB*,1,7.111,5.97,15.64900016784668,15.326000213623047,14.166000366210938,1.1410003,8.463449234521093,14.735368032186594,16.011263200033273
2340736324254735488,1.176391320557835,-20.97458771835872,66.48052358071891,486.67642,763.13354,758.3599683562992,85.2229368170899,16.850798,20.419176,15.292363,5.126813,0.8837038,1.3434169,TYC 5844-880-1,*,4,17.224,17.428,12.404000282287598,11.833999633789062,11.395999908447266,-0.20399857,15.041999462982965,15.964270155814813,11.51747243810241
2206265777300448768,336.44879839129527,64.36474554657796,60.62060640203084,692.7032,458.18732,-337.3750415604417,310.0220929408796,17.327248,20.708227,15.761462,4.946765,0.6253815,1.0036474,Gaia DR3 2206265777304448768,*,1,11.29,11.269,15.76099967956543,14.947999954223633,14.656000137329102,0.020999908,16.496040857263665,16.240349382010425,14.674101061575856
1668664785283445760,219.5410177378253,64.14250035646982,58.87781478128748,588.2114,676.58374,644.153770234613,-206.95770826566107,17.616884,20.542412,16.082228,4.460184,0.7270663,1.0669694,SDSS J143816.98+640831.9,G,2,16.116,15.83,12.984999656677246,12.16100025177002,11.649999618530273,0.2859993,16.984325992985383,16.466642415101717,11.834758071778966
2177877452238559104,321.85799800123465,55.88868198542661,57.54697790620107,959.95496,406.07385,308.5240002674112,264.02446585749703,16.289536,19.62896,14.763616,4.865344,0.45893863,0.95260954,Gaia DR3 2177854048947833088,EB*,1,15.793,16.279,15.668000221252441,14.876999855041504,14.623000144958496,-0.4859991,17.377107128543813,15.089648607411794,14.468112828664237
1876972009105701504,338.56255379484213,23.99859840763792,54.06394308629674,361.8051,853.1086,851.1467633174713,-57.82260252864317,17.821522,20.971678,16.268291,4.7033863,0.696636,1.1029657,LEDA 1697774,G,1,18.077,17.163,13.145000457763672,12.354000091552734,11.836999893188477,0.91399956,18.496616097790024,16.486060586222592,11.809539043986263
419121948343397888,4.943235713507629,52.22031059256852,50.30688654250263,430.51117,417.1665,310.27210190811525,-278.8531989449751,17.327671,20.39414,15.772535,4.621605,0.8294438,1.2576816,NVSS J001949+521402,Rad,1,13.776,13.857,14.276000022888184,13.8149995803833,13.767000198364258,-0.08100033,19.87799422162874,15.835808199901258,12.784137222789443
1104317391237838464,96.1779501115428,66.43966318244354,47.585836917872,312.8795,628.75964,354.20955504316566,-519.4942519753768,18.40809,21.107288,16.840971,4.2663174,0.72669524,0.9338016,WISE J062441.53+662629.2,MIR,1,18.528,18.139,13.411999702453613,12.767999649047852,12.267999649047852,0.38899994,21.014656140773393,16.795478559433917,11.799388261887529
518201101498814208,27.976995496246733,64.38577616425702,46.66789208180738,447.5629,143.54042,-141.33653705497406,25.05668126617028,17.62071,20.54699,16.049568,4.4974213,0.6736014,1.0908377,2MASS J01515483+6423084,LM*,4,16.321,17.479,13.178000450134277,12.519000053405762,12.07699966430664,-1.158001,21.428008752720835,15.965800924512134,11.523091374646413
2188860027203347968,314.9391995264964,55.29353080273955,43.95969839109637,862.3086,498.55466,271.6482781239225,418.04780697613296,17.061504,17.64795,16.336828,1.311121,0.0,1.0010628,ZTF J205951.55+551745.8,RS*,2,14.183,14.31,15.663000106811523,15.449000358581543,15.491999626159668,-0.12700081,22.748108758692958,15.276777520266375,13.878273627077899
814482174787733248,142.10429750705612,42.51339775733023,42.81448332915021,330.34622,542.14,-386.2755936845263,-380.403713809026,17.529444,20.607573,15.975728,4.6318445,0.7491269,0.992327,LEDA 3742663,G,1,16.608,16.21,13.081999778747559,12.38599967956543,11.942999839782715,0.39800072,23.356582218035335,15.687397537345127,11.239953316092684
2407323744864329344,352.44978338085747,-16.134613519089537,42.24992415711259,243.20935,540.20325,43.17421840566651,-538.4751639614418,17.961159,20.89089,16.393665,4.497225,0.8556295,1.2155745,MASTER OT J232947.88-160804.6,ev,1,12.13,11.834,13.371000289916992,12.71399974822998,12.315999984741211,0.29600048,23.668681540855605,16.090288668419436,11.50012995833643
261069144711056384,73.7983834350297,52.87121113777408,41.97443938741423,328.26556,810.31134,-114.54899629663612,-802.1738970843375,16.63703,19.861248,15.122515,4.7387333,0.81621575,1.0786346,ZTF J045509.32+525301.9,EB*,3,16.378,16.834,16.211999893188477,15.708000183105469,15.729000091552734,-0.45599937,23.82402277658159,14.75195452195652,14.326924415144997
2693095097621419648,320.5511061176594,4.230598362107293,41.29650575679993,757.4256,420.22156,-75.8447733692829,-413.3203551143927,16.537857,17.001345,15.8923,1.109045,0.0,1.0208254,SDSS J212213.66+041307.5,G,2,13.128,13.194,13.5600004196167,13.246999740600586,13.189000129699707,-0.065999985,24.21512381432753,14.617423530105222,11.639566949721923
2146576589564898688,284.4157312016983,53.50901710202562,40.39310935403938,799.06866,246.40071,240.7492368572938,-52.4701406612122,16.942257,17.473812,16.261986,1.2118263,0.16334714,1.0818938,UCAC4 718-062613,*,2,18.347,17.849,15.677000045776367,15.428999900817871,15.54800033569336,0.4979992,24.756697763352506,14.973793426449857,13.708536472226223
1086480151540969856,113.75340038557871,61.63135535260427,37.92393158813425,128.08855,162.28403,42.628889862384064,-156.58507078155614,19.060116,21.336153,17.512701,3.823452,0.8568897,0.971921,2MASS J07350070+6137555,LM*,4,18.272,18.437,14.220000267028809,13.47700023651123,13.008999824523926,-0.16500092,26.368574093538417,16.954682772354655,12.114567039383463
1994675416061276288,358.5379136253943,55.31394231885776,37.500084713012846,295.85574,1324.701,1093.6724192580486,-747.4714216115256,17.727308,20.925146,16.17433,4.7508163,0.89011216,1.1562197,Gaia DR3 1994675416053787136,*,1,17.312,17.055,15.84000015258789,15.189000129699707,15.277999877929688,0.25699997,26.666606426438058,15.597469244018924,13.710161396606814
454010341345229824,40.257765892365086,54.743366589911645,37.35091568737371,221.20612,68.42379,1.7387848027145871,-68.40169033456095,17.767511,20.85141,16.217718,4.633692,0.9719276,1.3124633,2MASS J02410186+5444373,LM*,4,15.026,15.315,16.260000228881836,15.741000175476074,14.586000442504883,-0.28899956,26.773105333480355,15.629017266781023,14.12150649566286
405102625325363840,15.519092125855726,52.90287568559022,37.23078501942698,396.46823,127.02296,-109.41404066592212,-64.52440192365843,17.099552,19.578485,15.493908,4.0845776,0.4829286,1.072279,PM J01020+5254B,Em*,4,18.358,17.204,15.682999610900879,15.47599983215332,14.857999801635742,1.1539993,26.859492741778105,14.95406296755597,13.53751057845685
930068265936597632,125.45628620401956,45.53161239678007,36.61748656982759,243.67233,584.78253,-358.1701368199713,-462.2604545109948,17.837559,21.241705,16.285383,4.9563217,0.69570225,0.84890115,NSC J082147+453150,ClG,1,16.446,16.569,13.46399974822998,12.732999801635742,12.378000259399414,-0.1230011,27.309356640113826,15.656001654727842,11.282442402957823
2487828199544312064,34.74281929376669,-6.297639915612684,36.29665662623085,251.61005,363.16714,350.8436518873832,-93.803520559009,17.054775,20.364033,15.542788,4.821245,0.80342764,0.8519072,2XLSSd J021857.9-061752,G,1,17.032,17.056,12.850000381469727,12.223999977111816,11.836999893188477,-0.024000168,27.55074689929762,14.854108114760333,10.64933349623006
