source_id,W1,W2,WISEA,J,H,K,2MASS
2412679706523802112,11.449999809265137,11.199999809265137,WISEA,12.296,11.761,11.512,23211343-1137239
3250489115708824192,5.453999996185303,6.484000205993652,WISEA,14.126,15.782,14.032,03402271-0313149
5068524995165870720,15.57800006866455,15.621999740600586,WISEA,11.951,11.42,11.193,02232034-2909377
835195736903689216,17.218000411987305,16.940000534057617,WISEA,13.217,12.722,12.527,10305749+4944491
4127813392278943360,14.958000183105469,14.982999801635742,WISEA,16.686,15.957,15.735,17055232-2031030
1285435333566659200,16.617000579833984,16.72100067138672,WISEA,13.806,13.319,13.07,14283956+3117247
5089072531027887232,,,,8.239,7.678,7.441,04072048-2429129
5021082752054529536,18.56599998474121,17.305999755859375,WISEA,12.562,12.007,11.863,02035299-2855498
2759428629829608064,,,,7.672,7.098,6.807,23503619+0956537
523686431849757440,14.303999900817871,14.440999984741211,WISEA,15.849,15.366,14.979,00583762+6248382
5055842025461459072,17.10300064086914,16.913000106811523,WISEA,12.033,11.527,11.297,03324315-3019305
5076597712617010304,17.41900062561035,16.975000381469727,WISEA,14.795,14.287,14.097,02554070-2357238
1509560165641240192,17.31399917602539,17.756000518798828,WISEA,17.224,16.673,15.565,14003239+4741509
2279224077519149568,18.49799919128418,17.725000381469727,WISEA,15.524,15.198,15.061,22010979+7417483
1509560165639569152,17.31399917602539,17.756000518798828,WISEA,17.224,16.673,15.565,14003239+4741509
6783390365695533696,18.165000915527344,16.777000427246094,WISEA,15.973,15.378,15.288,21243768-3230004
1928108370769224704,8.91100025177002,8.62600040435791,WISEA,8.975,8.408,8.035,22574092+3719232
1928108370769224704,8.91100025177002,8.62600040435791,WISEA,8.975,8.408,8.035,22574092+3719232
2619303676825175936,9.156000137329102,9.03499984741211,WISEA,14.783,14.148,13.985,22091980-0755186
2619303676825175936,9.156000137329102,9.03499984741211,WISEA,14.783,14.148,13.985,22091980-0755186
1725168726490933760,17.468000411987305,17.57200050354004,WISEA,14.075,13.52,13.342,13340169+8216233
2619303676825175808,9.156000137329102,9.03499984741211,WISEA,14.783,14.148,13.985,22091980-0755186
2619303676825175808,9.156000137329102,9.03499984741211,WISEA,14.783,14.148,13.985,22091980-0755186
514142567849992832,16.11400032043457,16.415000915527344,WISEA,15.104,14.668,14.368,02350442+6314205
1928108370769224576,8.91100025177002,8.62600040435791,WISEA,8.975,8.408,8.035,22574092+3719232
1928108370769224576,8.91100025177002,8.62600040435791,WISEA,8.975,8.408,8.035,22574092+3719232
6600087548117648512,17.665000915527344,17.43400001525879,WISEA,16.81,15.774,15.489,22314072-3452103
1051937447565634688,18.007999420166016,17.454999923706055,WISEA,12.649,12.146,11.941,10144285+6209274
2759428634126128384,,,,7.672,7.098,6.807,23503619+0956537
2562861381284623104,18.152999877929688,18.051000595092773,WISEA,14.391,13.931,13.719,01153990+0326130
1017619147041964160,18.63800048828125,17.770999908447266,WISEA,14.093,13.613,13.416,08552344+5254587
2492479271168730112,17.02899932861328,16.795000076293945,WISEA,13.736,13.198,12.977,02002871-0357228
1945261782959759232,12.800000190734863,12.87600040435791,WISEA,13.563,12.998,12.839,23563052+5310329
4897565299418285952,14.62399959564209,14.395999908447266,WISEA,16.55,15.991,15.165,04194898-2247486
1053684365383508992,17.23200035095215,17.327999114990234,WISEA,13.423,12.889,12.646,10184065+6511599
1450765911648481920,16.990999221801758,16.868000030517578,WISEA,11.266,10.753,10.469,13593541+2635316
17525291929400832,17.861000061035156,17.982999801635742,WISEA,12.411,11.864,11.702,03212353+1228514
1128641886979903104,18.889999389648438,18.645000457763672,WISEA,14.622,14.074,13.798,11125073+7746508
3442745179171045888,17.92799949645996,17.02899932861328,WISEA,16.833,15.711,15.301,05341238+2820259
6611174031234294144,17.214000701904297,17.02199935913086,WISEA,14.319,13.71,13.415,22524549-2525202
6152709705729644160,17.697999954223633,17.70800018310547,WISEA,12.086,11.558,11.246,12513182-3846125
17525291928845952,17.861000061035156,17.982999801635742,WISEA,12.411,11.864,11.702,03212353+1228514
2977562395228614656,16.308000564575195,16.343000411987305,WISEA,15.333,15.103,14.95,04470652-1946392
3002561853671949568,16.107999801635742,16.834999084472656,WISEA,16.658,15.895,15.547,06375924-0924419
1085037832803001344,17.599000930786133,17.47599983215332,WISEA,12.74,11.929,11.454,08040580+6153336
2335287797462765952,17.753999710083008,17.211000442504883,WISEA,12.657,12.164,11.988,00142263-2603156
3523812003972663680,17.95599937438965,18.107999801635742,WISEA,13.058,12.496,12.334,12420885-1558355
6011177614079629952,15.210000038146973,15.458000183105469,WISEA,15.564,15.162,15.154,16015682-3422192
2737085595774967040,16.511999130249023,16.547000885009766,WISEA,15.237,14.925,14.795,22232076+1601477
2942208354752550656,17.733999252319336,17.094999313354492,WISEA,14.088,13.6,13.336,06065397-1926374
6139840884199722880,7.327000141143799,7.4120001792907715,WISEA,11.946,11.434,11.124,12470814-4206488
6893412618771209088,9.307999610900879,9.076000213623047,WISEA,10.255,9.726,9.428,21373116-1014250
1082902134545364608,18.430999755859375,17.05699920654297,WISEA,11.013,10.48,10.349,07480832+5908187
2330871127972876160,18.322999954223633,18.08799934387207,WISEA,12.611,12.056,11.853,23413052-2816009
1984330523468864384,17.722999572753906,16.9689998626709,WISEA,14.878,14.233,14.134,22515383+4706011
152395923680024832,17.66900062561035,17.44099998474121,WISEA,13.732,13.189,12.968,04222496+2737127
494984883400191104,14.810999870300293,14.998000144958496,WISEA,15.506,15.064,15.157,04034620+7028238
41001411371871872,16.92799949645996,16.95199966430664,WISEA,17.094,16.264,15.376,03362324+1350583
2563177971913898496,16.94300079345703,17.236000061035156,WISEA,15.12,14.673,14.686,01253261+0420174
4035190738882495744,17.922000885009766,17.246000289916992,WISEA,12.036,11.466,11.296,12001073+4105380
6787965055621489920,13.826000213623047,13.694000244140625,WISEA,15.462,15.036,15.191,21175260-2921556
1676677927242991488,17.332000732421875,17.22800064086914,WISEA,10.8,10.191,10.002,12534225+6312498
1099288633074163328,,,,14.881,10.032,9.797,06575706+6219250
1946218014475874944,17.424999237060547,16.586000442504883,WISEA,13.004,12.511,12.27,21494244+3217511
3000597125173673088,16.538000106811523,16.590999603271484,WISEA,14.617,14.128,13.68,06154357-1247221
1043936576328923648,17.976999282836914,17.042999267578125,WISEA,11.8,11.219,11.063,08535800+6332283
5036892389232663936,10.656999588012695,10.41100025177002,WISEA,11.539,11.089,10.769,01344126-2604557
129722035407431424,17.950000762939453,17.034000396728516,WISEA,15.101,14.728,14.395,02441116+3011190
1144476812925666944,18.788000106811523,18.700000762939453,WISEA,14.579,14.204,13.932,09000240+8109174
6816824246552965248,17.035999298095703,16.635000228881836,WISEA,14.515,14.039,13.74,21520642-2233573
1508382451248706432,17.676000595092773,18.277000427246094,WISEA,13.015,12.468,12.298,14212566+4952029
2649199191825965056,15.996000289916992,15.793000221252441,WISEA,12.073,11.558,11.216,22565866-0143112
2004247214551243776,16.871999740600586,17.74799919128418,WISEA,16.395,15.815,15.526,22140628+5211098
2562434732118813056,17.64299964904785,16.864999771118164,WISEA,13.572,13.076,12.972,01411983+0621175
400872838454711424,17.18600082397461,17.93199920654297,WISEA,15.4,15.983,14.88,01121177+4556336
2380947457346805504,18.367000579833984,17.368999481201172,WISEA,13.466,12.885,12.64,23324517-2438141
2451036066578000384,18.538999557495117,16.964000701904297,WISEA,14.004,13.418,13.239,01330326-1622132
518418293689809280,15.833999633789062,16.023000717163086,WISEA,17.034,15.984,15.648,01542209+6541313
1543076475509704192,16.184999465942383,16.018999099731445,WISEA,9.607,9.026,8.772,12480977+4713316
6890201563781799168,16.924999237060547,16.482999801635742,WISEA,10.832,10.3,10.066,21032336-1032242
518418293689809536,17.357999801635742,17.878999710083008,WISEA,17.034,15.984,15.648,01542209+6541313
5159401108670161792,17.79599952697754,17.770999908447266,WISEA,14.36,13.745,13.487,02583667-1220273
320430403100626944,17.99799919128418,17.740999221801758,WISEA,16.495,14.606,14.459,01235671+3510107
